Organization,Year,Month,Request Number,Summary,Disposition,Number of Pages
Atomic Energy of Canada Limited,2013,07,A-2013-00035,All records related to conflicts of interest related to Point Lepreau Refurbishment Project.,All exempt,0
Atomic Energy of Canada Limited,2013,07,A-2013-00038,"List of lawsuits still being handled by AECLs wrap up office, including case names and parties involved.",Disclosed in part,1
Atomic Energy of Canada Limited,2013,06,A-2012-00056,"Correspondence between AECL and Property Value Protection (PVP) Program Compensation Officers from June 2012 to January 31, 2013.",Disclosed in part,155
Atomic Energy of Canada Limited,2013,06,A-2012-00057,"Methods used to calculate the distance from a transportation route, or remediation site for the purposes of reviewing a PVP claim for compensation.",Disclosed in part,19
Atomic Energy of Canada Limited,2013,06,A-2012-00073,"Proposals, scoring sheets, notes that supported the awarding of RFP 457896.",Disclosed in part,114
Atomic Energy of Canada Limited,2013,06,A-2013-00016,"Notes taken in meetings held on-site at AECL, CRL on December 13, 2012, January 6, 2013 and January 8, 2013.",Disclosed in part,5
Atomic Energy of Canada Limited,2013,06,A-2013-00022,"Radiological Property File of Highland Drive Landfill and adjoining area, Port Hope.",Disclosed in part,"1,172"
Atomic Energy of Canada Limited,2013,06,A-2013-00024,"Records related to disclosures of wrongdoing at AECL from January 1, 2000 to October 2, 2011.",All exempt,0
Atomic Energy of Canada Limited,2013,06,A-2013-00025,Records related to terminations in the procurement department in 2009 and 2010.,Disclosed in part,1
Atomic Energy of Canada Limited,2013,06,A-2013-00026,"Notes taken in meetings held on-site at AECL, CRL on December 13, 2012 and January 7, 2013.",Disclosed in part,5
Atomic Energy of Canada Limited,2013,05,A-2012-00070,Correspondence sent to Natural Resources Canada in relation to its May 2012 industry consultation document relating to the modernization of Canada's nuclear liability regime.,No records exist,0
Atomic Energy of Canada Limited,2013,05,A-2013-00003,All records related to media request made to AECL Communications.,Disclosed in part,18
Atomic Energy of Canada Limited,2013,05,A-2013-00004,"A list of all AECL contracts won by Laker Energy from January 1, 1995 to October 2, 2011.",All exempt,0
Atomic Energy of Canada Limited,2013,05,A-2013-00005,"All correspondence between AECL and Laker Energy from January 1, 2005 to October 2, 2011.",No records exist,0
Atomic Energy of Canada Limited,2013,05,A-2013-00006,"All disclosures of past employee relating to interest in ownership private companies from January 1, 2000.",No records exist,0
Atomic Energy of Canada Limited,2013,05,A-2013-00007,The legal costs for the litigation involving Canada Forgings.,All exempt,0
Atomic Energy of Canada Limited,2013,05,A-2013-00008,"All records related to potential conflicts of interest within the procurement department from June 1, 2005 to October 2, 2011.",All exempt,0
Atomic Energy of Canada Limited,2013,05,A-2013-00009,"Records related to terminations in the procurement department of AECL between January 1, 2008 and October 2, 2011.",Disclosed in part,1
Atomic Energy of Canada Limited,2013,05,A-2013-00011,"Records of past employee's agenda and calendar from January 1, 2005.",No records exist,0
Atomic Energy of Canada Limited,2013,05,A-2013-00012,"Records of past employee's agenda and calendar from January 1, 2005.",No records exist,0
Atomic Energy of Canada Limited,2013,05,A-2013-00013,"Records of past employee's agenda and calendar from January 1, 2005.",No records exist,0
Atomic Energy of Canada Limited,2013,05,A-2013-00015,AECL’s policy for valid driver's licences.,No records exist,0
Atomic Energy of Canada Limited,2013,05,A-2013-00017,"Copy of the Radiological Property File of 46 Catherine Street, Port Hope, Ontario.",Disclosed in part,60
Atomic Energy of Canada Limited,2013,05,A-2013-00019,"Copy of the Radiological Property File of 13 Shortt Street, Port Hope, Ontario.",Disclosed in part,9
Atomic Energy of Canada Limited,2013,04,A-2012-00040,Records related to changes in the Property Value Protection Program arbitration procedures,Disclosed in part,80
Atomic Energy of Canada Limited,2013,04,A-2013-00001,"Copy of the Radiological Property File of 28 Caroline Street, Port Hope, Ontario",Disclosed in part,42
Atomic Energy of Canada Limited,2013,04,A-2013-00002,All records produced in relation to Access to Information request A-2012-00047,Disclosed in part,48
Atomic Energy of Canada Limited,2013,04,A-2013-00010,Records related to breaches of section four of the Code of Conduct,All exempt,0
Atomic Energy of Canada Limited,2013,04,A-2013-00014,"Property Survey Report of 151 Cavan Street, Port Hope, Ontario",Disclosed in part,104
Atomic Energy of Canada Limited,2013,03,A-2012-00062,"Legal Fees paid to Osler, Hoskin & Harcourt LLP for the past 8 years",All exempt,0
Atomic Energy of Canada Limited,2013,03,A-2012-00064,Copy of the report # CRNL-2592.,All exempt,0
Atomic Energy of Canada Limited,2013,03,A-2012-00068,Request for 5 documents co-authored by Dr. Leo Yaffe.,Disclosed entirely,58
Atomic Energy of Canada Limited,2013,03,A-2012-00069,Total costs related to Canada Forgings Inc. lawsuit,All exempt,0
Atomic Energy of Canada Limited,2013,03,A-2012-00071,All records related to consultations between AECL Technologies and the Standards Council of Canada,No records exist,0
Atomic Energy of Canada Limited,2013,03,A-2012-00072,"Property Survey Report of 2A Crossley Drive, Port Hope, Ontario",Disclosed in part,67
Atomic Energy of Canada Limited,2013,03,A-2012-00074,"Copy of the Radiological Property File of 6911 Boul. Decarie, Montréal, Québec",No records exist,0
Atomic Energy of Canada Limited,2013,03,A-2012-00075,"Copy of the Radiological Property File of 12 Percival Street, Port Hope, Ontario",Disclosed in part,15
Atomic Energy of Canada Limited,2013,02,A-2012-00051,"Radiological Property File of 64 Ward Street, Port Hope",Disclosed in part,938
Atomic Energy of Canada Limited,2013,02,A-2012-00053,"Radiological Property File of 21 Smith Street, Port Hope",Disclosed in part,113
Atomic Energy of Canada Limited,2013,02,A-2012-00058,Copy of the job specification and education requirements for the PVP Program co-ordinators.,Disclosed entirely,5
Atomic Energy of Canada Limited,2013,02,A-2012-00060,Any material relating to PHAI concerns about the price reduction program being a contravention of the Competition Act.,No records exists,0
Atomic Energy of Canada Limited,2013,02,A-2012-00061,"Copy of ""The 1945 Kicksorter-preliminary Information"", Report PD-145, 45-06-22C",Disclosed entirely,6
Atomic Energy of Canada Limited,2013,02,A-2012-00063,"Radiological Property File of 25 Peter Street, Port Hope",Disclosed in part,14
Atomic Energy of Canada Limited,2013,02,A-2012-00065,"Radiological Property File of 85 Bruton Street, Port Hope",Disclosed in part,28
Atomic Energy of Canada Limited,2013,02,A-2012-00066,"Radiological Property File of 85 Bruton Street, Port Hope",Disclosed in part,28
Atomic Energy of Canada Limited,2013,01,A-2012-00038 and A-2012-00039,Information used by consultants for the production of the Atmospheric Study and Socio-Economic Study.,No records exists,0
Atomic Energy of Canada Limited,2013,01,A-2012-00041,All information relating to the calculation of chainsaw noise or that refers to chainsaws and project impact.,Disclosed in part,293
Atomic Energy of Canada Limited,2013,01,A-2012-00047,"Report made by Deloitte &Touche, circa 2009",All exempt,
Atomic Energy of Canada Limited,2012,11,A-2012-00026,Copy of the follow-up plan and the dust study pertaining to the Waste Nuclear substance License for the Port Hope Long Term Low Level Radioactive Waste Management Project.,Disclosed in part,268
Atomic Energy of Canada Limited,2012,11,A-2012-00027,Copy of all steps taken to date to reduce the Impact of the Remediation of Port Hope project by AECL.,Disclosed entirely,23
Atomic Energy of Canada Limited,2012,11,A-2012-00042,"Property Survey Report for 34 Jarvis Drive, Port Hope.",Disclosed in part,76
Atomic Energy of Canada Limited,2012,10,A-2012-00024,Copy of comments from any appraisal done for the PVP Program that mentions the PVCI study and the reasons that property values differ between Port Hope and Cobourg.,Disclosed in part,68
Atomic Energy of Canada Limited,2012,10,A-2012-00025,"Radiological Property File of 103 Church Street, Port Hope.",Disclosed in part,358
Atomic Energy of Canada Limited,2012,10,A-2012-00028,"AECL granted a License for the Remediation of Port Hope, I would like the following information relating to the granting of that license. A copy of the study done by LLRW consultants and any other study that refers to the Impact of stigma on Port Hope",Disclosed entirely,"1,820"
Atomic Energy of Canada Limited,2012,10,A-2012-00032,"Radiological Property File for 125 Hope Street South, Port Hope.",Disclosed in part,29
Atomic Energy of Canada Limited,2012,10,A-2012-00033,"Radiological Property File for 147 Bruton Street, Port Hope.",Disclosed in part,231
Atomic Energy of Canada Limited,2012,09,A-2012-00023,"Summary Report of the Federal Provincial Task Force on Radioactivity, 1981 from MacLaren.",Disclosed Entirely,219
Atomic Energy of Canada Limited,2012,08,A-2012-00012,"Copies of the Appendices A, C, D, E and F that were withdrawn of the Official Handbook 4500-513760-HBK-001 and dates on which they were withdrawn.",No records exists,0
Atomic Energy of Canada Limited,2012,08,A-2012-00016,"All information provided to new compensation officers appointed in 2012 and copies of the same material provided to all compensation officers prior to January 1, 2012 by the Government of Canada pursuant to the remediation Agreement.",Disclosed in part,311
Atomic Energy of Canada Limited,2012,08,A-2012-00018,"Radiological Property File of 92 Charles Street, Port Hope.",Disclosed in part,9
Atomic Energy of Canada Limited,2012,08,A-2012-00019,"Port Hope 1988 Remedial Program Project Summary Report November, 1990, MacLarentech Inc.",Disclosed in part,101
Atomic Energy of Canada Limited,2012,08,A-2012-00020,"Radiological Property File for the East Beach, Port Hope.",Disclosed in part,66
Atomic Energy of Canada Limited,2012,08,A-2012-00021,Radiological Property File for the West Beach including the former Ball Diamond in Port Hope.,Disclosed in part,176
Atomic Energy of Canada Limited,2012,08,A-2012-00022,"Radiological Property File for 64 Ward Street, Port Hope from August 1, 2010 to present.",Disclosed in part,119
Atomic Energy of Canada Limited,2012,07,A-2011-00067,"Records relating to appraisals done by Royce Williamson on behalf of AECL from February 1, 2011 to February 15, 2012.",Disclosed in part,48
Atomic Energy of Canada Limited,2012,06,A-2012-00005,"Provide the total number of Full time FTE's dedicated to the PVP with corresponding salary costs, total accommodation costs (including rent/utilities) broken down by fiscal year.",Disclosed entirely,1
Atomic Energy of Canada Limited,2012,06,A-2012-00006,"Total up to date cost that have been incurred by AECL in response to arbitrations, total up to date cost incurred by AECL in response to Mediations and total up to date fees paid to lawyers by AECL for arbitrations and mediations.",Disclosed entirely,1
Atomic Energy of Canada Limited,2012,06,A-2012-00011,"Copy of Survey report for 85 James Street, Port Hope Ontario",Disclosed in part,155
Atomic Energy of Canada Limited,2012,06,A-2012-00017,"Radiological Property File of 12 Calgary Road, Port Hope.",Disclosed in part,25
Atomic Energy of Canada Limited,2012,05,A-2012-00001,"List of all PVP program grants from January 30, 2012 to March 31, 2012",Disclosed in part,2
Atomic Energy of Canada Limited,2012,05,A-2012-00002,How many people visited the LLRWMO or PHAIMO asking about their property and if it qualified for the PVP program and decided not to go ahead when PVP staff told them the program did not apply to them?,No records exists,0
Atomic Energy of Canada Limited,2012,05,A-2012-00003,The number of inquiries a year from people in the PVP zone on a chart or an alternative that can be clearly understood and where the inquiries originated.,No records exists,0
Atomic Energy of Canada Limited,2012,05,A-2012-00004,"Since the PVP program started in 2001, how many of these cases have been by the year and what is the complete & total cost of the remediation in each case to date.",Disclosed entirely,2
Atomic Energy of Canada Limited,2012,05,A-2012-00007,"Radiological property file of 22 Ravine Drive, Port Hope and any paperwork associated with the Property Value Protection Program (PVP)",Disclosed in part,16
Atomic Energy of Canada Limited,2012,05,A-2012-00008,"Radiological Property File of 16 Caroline Street, Port Hope.",Disclosed in part,14
Atomic Energy of Canada Limited,2012,05,A-2012-00009,"Radiological Property File of 37 Mill Street, Port Hope.",Disclosed in part,14
Atomic Energy of Canada Limited,2012,05,A-2012-00010,"Radiological Property File of 13 Campbell Road, Port Hope.",Disclosed in part,9
Atomic Energy of Canada Limited,2012,04,A-2011-00051,Copies of all complaints filed under the Remediation Agreement under the provisions of Article 5.3 of the Remediation Agreement more specifically Article 5.3.2 and 5.3.3 which requires the PHAIMO and the LLRWMO to “regularly make information about the complaint process known to the public” and dates when AECL held public meetings or otherwise met their obligations under this section.,Disclosed in part,6
Atomic Energy of Canada Limited,2012,04,A-2011-00060,"Copy of “all studies done by LLRWMO or PHAI including notes, memos and correspondence relating to the impact of the sound generated by the trucks and heavy equipment that will be used during Port Hope Remediation”.",Disclosed in part,"1,000"
Atomic Energy of Canada Limited,2012,03,A-2011-00053,A copy of the Request For Proposal used to retain an appraisal firm to do appraisals on behalf of the PVP program.,No records exists,0
Atomic Energy of Canada Limited,2012,03,A-2011-00069,"Since the inception of the PVP program, the amounts paid out in each instance, the current total dollars paid out or about to be paid out as a result of agreements made prior to February 1, 2012 and the actual distance that each site was away from a “truck route, noise source, dust source, remediation site of the final dump site.”",Disclosed in part,2
Atomic Energy of Canada Limited,2014,03,A-2013-00070,Minutes of the training program held by AECL for compensation officers prior to their undertaking duties.,Disclosed in part,67
Atomic Energy of Canada Limited,2014,03,A-2013-00071,Copy of each Appraisal Service contract between 2006-2014 between AECL and appraisers retained to work for AECL relating to PVP Program.,Disclosed in part,30
Atomic Energy of Canada Limited,2014,03,A-2013-00075,"Copy of official guidance documents that govern science employees when publishing, reviewing or publically presenting scientific or technical work. January 2000.",Disclosed entirely,33
Atomic Energy of Canada Limited,2014,03,A-2013-00076,"Copy of official guidance documents that govern science employees when publishing, reviewing or publically presenting scientific or technical work. January 1, 2006.",Disclosed entirely,33
Atomic Energy of Canada Limited,2014,02,A-2013-00063,"Remediation of Uranium-Contaminated Soils at the Waterways Site AMEC Project Closure Report, Fort McMurray, Alberta",Disclosed in part,312
Atomic Energy of Canada Limited,2014,02,A-2013-00065,"Radiological Property File of 26 Bramley Street, Port Hope",Disclosed in part,73
Atomic Energy of Canada Limited,2014,02,A-2013-00066,"Documents that provide guidance or stipulate how employees at AECL should interact with media as of January 1, 2014.",Disclosed entirely,8
Atomic Energy of Canada Limited,2014,02,A-2013-00067,"Documents that provide guidance or stipulate how employees at AECL should publish review or publically present their scientific or technical work as of January 1, 2014.",Disclosed entirely,8
Atomic Energy of Canada Limited,2014,01,A-2013-00061 and A-2012-00062,"Copy of the Radiological Property File of 15, 17 and 19 Ontario Street in Port Hope, Ontario",Disclosed in part,256
Atomic Energy of Canada Limited,2013,12,A-2013-00051,"Briefing materials regarding IT security, IM Security, data protection and /or cyber security between Jan 1, 2013 and the present.",Disclosed in part,65
Atomic Energy of Canada Limited,2013,12,A-2013-00057,"Radiological Property File for 3 Gifford Street, Port Hope.",Disclosed in part,2
Atomic Energy of Canada Limited,2013,12,A-2013-00058,"Radiological Property File for 82 Augusta Street, Port Hope.",Disclosed in part,6
Atomic Energy of Canada Limited,2013,12,A-2013-00059,"Radiological Property File for 72 Augusta Street, Port Hope.",Disclosed in part,2
Atomic Energy of Canada Limited,2013,12,A-2013-00060,"Radiological Property File for 1 Gifford Street, Port Hope.",No records exist,2
Atomic Energy of Canada Limited,2012,03,A-2011-00077,"Copy of the Radiological Property File of 46 Toronto Rd in Port Hope, Ontario",Disclosed in part,42
Atomic Energy of Canada Limited,2012,03,A-2011-00078,"Copy of the Radiological Property File of 38 Toronto Rd. in Port Hope, Ontario",Disclosed in part,27
Atomic Energy of Canada Limited,2012,02,A-2011-00050,All polling done by the PHAIMO or other associated group(s) of Realtors from Northumberland County and from outside the country.,No records exists,0
Atomic Energy of Canada Limited,2012,02,A-2011-00052,"Copies of all letters from AECL that have, regularly advised the Municipality (Port Hope) of the number and nature of the complaints submitted regarding PHAI",No records exists,0
Atomic Energy of Canada Limited,2012,02,A-2011-00061,"All of the mathematical formulas used to calculate the speed of sound that varies by temperature, height and humidity and all information on the meteorological data used during the EZ process on the Remediation project.",No records exists,0
Atomic Energy of Canada Limited,2012,02,A-2011-00062,"Copy of the Radiological Property File of the Malvern Town Center in Port Hope, Ontario",Disclosed in part,293
Atomic Energy of Canada Limited,2012,02,A-2011-00065,"Copy of the Radiological Property Report of 10 Gilford, Port Hope, Ontario",Disclosed in part,79
Atomic Energy of Canada Limited,2012,02,A-2011-00066,"Copy of the Radiological Property File of 57 Shuter Street, Port Hope, Ontario",Disclosed in part,171
Atomic Energy of Canada Limited,2012,02,A-2011-00070,"Copy of the Radiological Property Report of 18 Trafalgar Street, Port Hope, Ontario",Disclosed in part,14
Atomic Energy of Canada Limited,2012,02,A-2011-00071,"Copy of the Radiological Property File of 236 Victoria Street, Port Hope, Ontario",Disclosed in part,63
Atomic Energy of Canada Limited,2012,02,A-2011-00073,"Copy of the Radiological Property File of 22 Shortt Street, Port Hope, Ontario",Disclosed in part,63
Atomic Energy of Canada Limited,2012,02,A-2011-00074,"Copy of the Radiological Property File of 9 Campbell Road, Port Hope, Ontario",Disclosed in part,65
Atomic Energy of Canada Limited,2012,02,A-2011-00075,"Copy of the Radiological Property File of 20 Spicer Street, Port Hope, Ontario",Disclosed in part,62
Atomic Energy of Canada Limited,2012,01,A-2011-00001,Documents relating to the May 2009 Shutdown of the Chalk River National Research Universal (NRU) reactor.,Disclosed in part,"1,523"
Atomic Energy of Canada Limited,2012,01,A-2011-00043,Copies of documents detailing the severance packages paid to Hugh MacDiarmid and to Glenna Carr for their time as CEO and Chair of AECL and documents detailing the salaries and benefits paid to Dr. Robert Walker and to Peter Currie as the new CEO and chairman of AECL.,Disclosed in part,11
Atomic Energy of Canada Limited,2012,01,A-2011-00054,"Copy of the Radiological Property File of 208 Walton Street, Port Hope, Ontario",Disclosed in part,29
Atomic Energy of Canada Limited,2012,01,A-2011-00055,"Copy of the Radiological Property File of the Firefighters Museum on Mill street, Port Hope, Ontario",Disclosed in part,347
Atomic Energy of Canada Limited,2012,01,A-2011-00056,"Copy of the Radiological Property File of Lions Recreation Center in Port Hope, Ontario",Disclosed in part,175
Atomic Energy of Canada Limited,2012,01,A-2011-00057,"Copy of the Radiological Property File of 2237 Baulch Rd., Port Hope, Ontario",Disclosed in part,3
Atomic Energy of Canada Limited,2012,01,A-2011-00059,"Copy of the Radiological Property File of 147 Bruton Street, Port Hope, Ontario",Disclosed in part,18
Status of Women Canada,2013,11,A-2013-00012,"A copy of all Question Period cards and materials for Ministers or Parliamentary Secretaries from October 16 to 21, 2013",All Disclosed,11
Status of Women Canada,2013,10,A-2013-00003,Decision documents developed at the Director General level and higher for amendments to the program alignment architecture and performance targets for Status of Women Canada.,Disclosed in Part,32
Status of Women Canada,2013,10,A-2013-00009,"All correspondence between Status of Women Canada and REAL Women Canada from September 1, 2012 to September 1, 2013.",No records exist,0
Status of Women Canada,2013,09,A-2013-00005,"A copy of the briefing book prepared for the new Minister of Status of Women Canada, the Honorable Kellie Leitch concerning Status of Women.",Disclosed in Part,100
Status of Women Canada,2013,09,A-2013-00008,"Transition binder prepared in July, 2013, in preparation for cabinet shuffle. (incoming Minister Kellie Leitch)",Disclosed in Part,100
Status of Women Canada,2013,08,A-2013-00006,"A copy of all records pertaining to the annual report for the fiscal year 2011-2012 of the Canadian National Action Plan for the Implementation of United Nations Security Council Resolutions on Women, Peace and Security - Building Security for All.",No records exist,0
Status of Women Canada,2013,06,A-2013-00002,"A copy of all records related to the cost of Rona Ambrose's April 5, 2013 news conference in Toronto to announce a new advisory council to promote the participation of women on public and private corporate boards.",All Disclosed,1
Status of Women Canada,2013,06,A-2013-00004,"A copy of all records including briefing notes, memoranda, emails (only emails pertaining to communications from Status of Women Canada officials on the content for the announcement) and message event proposals (including drafts) related to Rona Ambrose's April 5, 2013 news conference in Toronto to announce a new advisory council to promote the participation of women on public and private corporate boards",All Disclosed,208
Status of Women Canada,2013,05,A-2012-00007,"A copy of a list from the department's document tracking system for the briefing notes, deck presentations and memorandums submitted to the Minister for the period April 17, 2012 to May 31, 2012",Disclosed in Part,2
Status of Women Canada,2013,05,A-2012-00032,"A copy of a list from the department’s document tracking system for Briefing Notes, Deck Presentations, and Memorandums submitted to the Minister for the period November 1, 2012 to December 31, 2012.",Disclosed in Part,8
Status of Women Canada,2013,03,SWC2010-11/34,Documents concerning funding to address the issue of violence against aboriginal women during period Sept/Oct 2009 and March/Apr 2010.,Disclosed in part,750
Status of Women Canada,2013,03,A-2012-00004,"Records regarding the Canadian delegation to the fifty-sixth session of the UN Commission on the Status of Women for the period December 1, 2011 to March 9, 2012.",Nothing disclosed (excluded),0
Status of Women Canada,2013,03,A-2012-00009,"Briefing notes, memos and deck presentations pertaining to the Supplementary A estimates",Nothing disclosed (excluded),0
Status of Women Canada,2013,03,A-2012-000030,"List from the department’s document tracking system for Briefing Notes, Deck Presentations, and Memorandums submitted to the Minister for the period June 1, 2012 to August 31, 2012.",Disclosed in part,3
Status of Women Canada,2013,03,A-2012-00031,"List from the department’s document tracking system for Briefing Notes, Deck Presentations, and Memorandums submitted to the Minister for the period September 1, 2012 to October 31, 2012.",Disclosed in part,9
Status of Women Canada,2013,03,A-2012-00033,"List from the department’s document tracking system for Briefing Notes, Deck Presentations, and Memorandums submitted to the Minister for the period January 1, 2013 to February 11, 2013.",Disclosed in part,5
Status of Women Canada,2013,02,A-2012-00003,"A copy of a list from the department's document tracking system for Briefing Notes, Deck Presentations, and Memorandums submitted to the Minister for the period November 1, 2011 to April 16, 2012.",Disclosed in part,25
Status of Women Canada,2013,02,A-2012-00021,"Records, including but not limited to the briefing notes, research, memos, correspondence, meeting minutes, drafts and emails related to abortion, right of life and choice from January 1, 2006 to present (October 16, 2012), at the director level up to the Minister.",All Disclosed,1
Status of Women Canada,2013,02,A-2012-00025,"Records, including but not limited to, briefing notes and memos, related to ""women, peace and security"" from August 1, 2012 to now (Dec. 17, 2012) at the director level up to the Minister.",No records exist,0
Status of Women Canada,2013,02,A-2012-000026,"Records, including but not limited to, briefing notes and memos, related to Canada’s National Action Plan on the Implementation of UN Security Council resolution 1325 from August 1, 2012 to now (Dec. 17, 2012) at the director level up to the Minister.",No records exist,0
Status of Women Canada,2013,02,A-2012-00027,"Records, including but not limited to, briefing notes and memos, related to United Nations Security Council Resolution 1325 from August 1, 2010 to November 1, 2012 at the director level up to the Minister.",No records exist,0
Status of Women Canada,2013,02,A-2012-00028,A document which describes why your organization is providing financial support to the organization which calls itself Bury's Image de Bury and to what amount.,No records exist,0
Status of Women Canada,2013,02,A-2012-00029,"Records regarding accusations of sexual harrassment in the RCMP, including but not limited to briefing materials for Minister Rona Ambrose, from January 1, 2012 to February 4, 2013",No records exist,0
Status of Women Canada,2013,01,A-2012-00014,"All records regarding the keepsake entertainment, and 3D ultrasound industry in Canada - created between April 2012 and the present. This should include, but not be limited to, any records regarding CBC's investigation into the private keepsake ultrasound industry and its relation to fetal gender determination broadcast June 2012. It should also include, but not be limited to; media briefings, meeting minutes, policy recommendations under discussion, internal correspondence on the issue, reviews of past policies, and correspondence with outside agencies on the topic.",Disclosed in part,42
Status of Women Canada,2013,01,A-2012-00023,"All reports, studies, documents, statistics and presentations relating to forced marriages, non-consensual marriages, fraud marriages, marriage trafficking and polygamy in Canada.",All Disclosed,49
Status of Women Canada,2013,01,A-2012-00024,"All documents outlining the total cost of cellphone/smartphone bills paid by the Agency for fiscal years 2009/2010, 2010/2011 and 2011/2012 and the name of the providers. I am looking only for a report of the total costs.",Disclosed in part,28
Status of Women Canada,2012,12,A-2012-00018,"I am requesting all record under the control of the Minister for Status of Women that have any connection to Private Member's Motion M312. Including records between the Minister and other federal department and Members of Parliament during the date's of September 1, 2012 to October 10, 2012.",Disclosed in part,147
Status of Women Canada,2012,11,A-2012-00015,"Obtain copies of all letters including emails, correspondence sent to the Minister for Status of Women Canada, Rona Ambrose, following the vote that was held in the House of Commons on Wednesday, September 26, 2012 and referring to abortion and/or to Motion 312 involving the rights of the foetus as of today, September 30, 2012.",Disclosed in part,129
Status of Women Canada,2012,11,A-2012-00016,"Total costs of Susan Truppe's trip to New York City in March 2012 where she spoke at the 56th session of United Nations Commission on Status of Women; including hotel, meals, transportation and all additional spending.",Disclosed in part,1
Status of Women Canada,2012,11,A-2012-00017,I would like all correspondence sent to Rona Ambrose after last month's vote in the House of Commons on the private member's motion that would have struck a committee to study parts of the Criminal Code that determine when a fetus becomes a legal person.,Disclosed in part,136
Status of Women Canada,2012,11,A-2012-00022,"A copy of all documents drafts from the period of January 5th, 2011 to December 6th, 2011 prepared by Status of Women Canada regarding the National Day of Remembrance & Action on Violence Against women, 2011.",Disclosed in part,11
Status of Women Canada,2012,10,A-2012-00006,"The following documents:
 MR2011-00141 Memo International Day of the Girl
 MR2011-00163 International Day of the Girl
 MR2011-00164 Opportunities
 MR2011-00193 An update",Disclosed in part,22
Status of Women Canada,2012,10,A-2012-00019,"All memos, briefing notes, QP notes and reports (with attachments) prepared for the Minister during the month of September 2012 regarding Bill M-312.",No records exist,0
Status of Women Canada,2012,10,A-2012-00020,"Please provide all documents, including briefing notes, talking points, media lines, media summaries, etc. relating to the Bill M-312. Specifically, please include any documentations or correspondence leading to Minister’s Ambrose’s decision to support the Bill.",No records exist,0
Status of Women Canada,2012,09,A-2012-00010,"The following documents:
 MR2011-00152 Briefing Note on Women in Canada
 MR2011-00184 Memo 56th Session of the UNCSW
 MR2011-00190 Briefing Binder for Hon. Rona Ambrose
 MR2011-00198 Deck/Binder Women's Program Evaluation",Disclosed in part,56
Status of Women Canada,2012,09,A-2012-00013,"Please provide copies of all emails, briefing notes, memos, media lines, talking points or other records relating to the effects of the provisions in Bill C-19, and to amend the Criminal Code and the Firearms Acts, relating to women and the safety of women; how women are disproportionately vulnerable to firearms violence; how to women and the safety of women; how women are disproportionately vulnerable to firearms violence; how firearms are used in domestic violence.",All Disclosed,2
