Controlled Vocabularies,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
organizationName,,,,,,,,,,,,,,
Source: GC Registry of Applied Terms : http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
Source URL: http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
"Note: Used 'Applied Title' where applicable, if no 'Applied Title' use 'Legal Title'",,,,,,,,,,,,,,
Controlled Vocabulary,,,,,,,,,,,,,,
English,English Abbr.,English Alternate Name,English Homepage,French,French Abbr.,French Site Name,French Homepage,Department Identifier,Phone Number,Fax,Email,English Address,French Address,
Canada Border Services Agency,CBSA,Canada Border Services Agency,http://www.cbsa-asfc.gc.ca/menu-eng.html,Agence des services frontaliers du Canada,ASFC,Agence des services frontaliers du Canada,http://www.cbsa-asfc.gc.ca/menu-fra.html,229,613-960-1414,613-957-6408,ATIP-AIPRP@cbsa-asfc.gc.ca,"Dan Proulx
 Access to Information and Privacy Coordinator
 410 Laurier Avenue West, 10th Floor
 Ottawa, Ontario  K1A 0L8","Dan Proulx
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 410, avenue Laurier Ouest, 10e étage
 Ottawa, (Ontario)  K1A 0L8",
Canada Council for the Arts,CCA,Canada Council for the Arts,http://www.canadacouncil.ca/,Conseil des arts du Canada,CAC,Conseil des arts du Canada,http://canadacouncil.ca/fr,222,613-566-4414  Ext.4696,613-566-4390,debbie.stenson@canadacouncil.ca,"Debbie Stenson
 Access to Information and Privacy Coordinator
 350 Albert Street
 P.O. Box 1047
 Ottawa, Ontario  K1P 5V8","Debbie Stenson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 350, rue Albert
 C.P. 1047
 Ottawa, (Ontario)  K1P 5V8",
Canada Deposit Insurance Corporation,CDIC,Canada Deposit Insurance Corporation,http://www.cdic.ca/home/Pages/AltHome.aspx?utm_source=google&utm_medium=cpc&utm_campaign=new_url_eng&gclid=CLjl7pftp7oCFRPNOgodcR4AGQ,Société d'assurance-dépôts du Canada,SADC,Société d’assurance-dépôts du Canada,http://www.sadc.ca/accueil/Pages/default.aspx,273,613-996-2082,613-996-6095,cricher@cdic.ca,"Chantal M. Richer
 Access to Information and Privacy Coordinator
 50 O'Connor Street, 17th Floor
 Ottawa, Ontario  K1P 5W5","Chantal M. Richer
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 50, rue O'Connor, 17e étage
 Ottawa, (Ontario)  K1P 5W5",
Canada Development Investment Corporation,CDEV,Canada Development Investment Corporation,http://www.cdiccei.ca/en/index.asp,Corporation de développement des investissements du Canada,CDEV,Corporation de développement des investissements du Canada,http://www.cdiccei.ca/fr/index.asp,148,416-966-0650,416-966-5485,dianne.robinson@cdev.gc.ca,"Dianne Robinson
 Access to Information and Privacy Coordinator
 1240 Bay Street, Suite 302
 Toronto, Ontario  M5R 2A7","Dianne Robinson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1240, rue Bay, bureau 302
 Toronto, (Ontario)  M5R 2A7",
Canada Development Investment Corporation,CEI,"Canada Development Investment Corporation,Canada Eldor Inc.",http://www.cdiccei.ca/en/index.asp,Corporation de développement des investissements du Canada,CEI,"Corporation de développement des investissements du Canada,Canada Eldor Inc. (Corporation de développement des investissements du Canada)",http://www.cdiccei.ca/fr/index.asp,,416-966-0650,416-966-5485,dianne.robinson@cdev.gc.ca,"Dianne Robinson
 Access to Information and Privacy Coordinator
 1240 Bay Street, Suite 302
 Toronto, Ontario  M5R 2A7","Dianne Robinson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1240, rue Bay, bureau 302
 Toronto, (Ontario)  M5R 2A7",
Canada Emission Reduction Incentives Agency,CERIA,"Environment Canada,Canada Emission Reduction Incentives Agency",http://www.ec.gc.ca/default.asp?lang=En&n=FD9B0E51-1,Agence canadienne pour l'incitation à la réduction des émissions,ACIRE,"Environnement Canada,Agence canadienne pour l'incitation à la réduction des émissions",http://www.ec.gc.ca/default.asp?lang=Fr&n=FD9B0E51-1,277,613-953-2743,613-953-0749,nancy.hamzawi@ec.gc.ca,"Nancy Hamzawi 
Access to Information and Privacy Coordinator
 Les Terrasses de la Chaudiere
 10 Wellington Street, 27th Floor
 Gatineau, Quebec  K1A 0H3","Nancy Hamzawi 
Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 Les Terrasses de la Chaudiere
 10, rue Wellington, 27e étage
 Gatineau, (Québec)  K1A 0H3",
Canada Employment Insurance Commission,CEIC,Canada Employment Insurance Commission,http://www.hrsdc.gc.ca/eng/jobs/ei/commission/,Commission de l'assurance-emploi du Canada,CAEC,Commission de l'assurance-emploi du Canada,http://www.rhdcc.gc.ca/fra/emplois/ae/commission/index.shtml,196,819-994-0416,819-953-0659,jackie.holden@hrsdc-rhdsc.gc.ca,"Jackie Holden
 Access to Information and Privacy Coordinator
 Phase IV, Level 1, Mail Stop 112
 140 Promenade du Portage
 Gatineau, Quebec  K1A 0J9","Jackie Holden
 Coordonnateur de l'accès à linformation et de la protection des renseignements personnels
 Phase IV, Niveau 1, Arrêt postal 112
 140, Promenade du Portage
 Gatineau, Québec  K1A 0J9",
Canada Employment Insurance Financing Board,CEIFB,Canada Employment Insurance Financing Board,http://www.ceifb-ofaec.ca/en/index.html,Office de financement de l'assurance-emploi du Canada,OFAEC,Office de financement de l'assurance-emploi du Canada,http://www.ceifb-ofaec.ca/fr/index.html,176,613-943-7344,613-943-7163,phil.charko@ceifb-ofaec.ca,"Phil Charko
 Access to Information and Privacy Coordinator
 350 Albert Street, Suite 315
 Ottawa, Ontario  K1R 1A4","Phil Charko
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 350,rue Albert, bureau 315
 Ottawa, Ontario  K1R 1A4",
Canada Foundation for Innovation,Innovation,Canada Foundation for Innovation,http://www.innovation.ca/,Fondation canadienne pour l’innovation,Innovation,Fondation canadienne pour l’innovation,http://www.innovation.ca/fr,168,613-947-6497,613-943-0923,manon.harvey@innovation.ca,"Manon Harvey
 Access to Information and Privacy Coordinator
 230 Queen Street, Suite 450
 Ottawa, Ontario  K1P 5E4","Manon Harvey
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 230, rue Queen, bureau 450
 Ottawa, (Ontario)  K1P 5E4",
Canada GEN Investment Corporation (Canada Development Investment Corporation),Cdn GEN,"Canada Development Investment Corporation,Canada GEN Investment Corporation",http://www.cdiccei.ca/en/index.asp,Corporation d'investissement GEN du Canada (Corporation de développement des investissements du Canada),GEN,Corporation d'investissement GEN du Canada (Corporation de développement des investissements du Canada),http://www.cdiccei.ca/fr/index.asp,148,416-966-0650,416-966-5485,dianne.robinson@cdev.gc.ca,"Dianne Robinson
 Access to Information and Privacy Coordinator
 1240 Bay Street, Suite 302
 Toronto, Ontario  M5R 2A7","Dianne Robinson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1240, rue Bay, bureau 302
 Toronto, (Ontario)  M5R 2A7",
Canada Hibernia Holding Corporation (Canada Development Investment Corporation),CHHC,"Canada Development Investment Corporation,Canada Hibernia Holding Corporation",http://www.cdiccei.ca/en/index.asp,Société de gestion Canada Hibernia (Corporation de développement des investissements du Canada),SGCH,Société de gestion Canada Hibernia (Corporation de développement des investissements du Canada),http://www.cdiccei.ca/fr/index.asp,148,416-966-0650,416-966-5485,dianne.robinson@cdev.gc.ca,"Access to Information and Privacy Coordinator
 1240 Bay Street, Suite 302
 Toronto, Ontario  M5R 2A7","Dianne Robinson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1240 rue Bay, pièce 302
 Toronto, Ontario  M5R 2A7",
Canada Industrial Relations Board,CIRB,Canada Industrial Relations Board,http://www.cirb-ccri.gc.ca/eic/site/047.nsf/eng/home,Conseil canadien des relations industrielles,CCRI,Conseil canadien des relations industrielles,http://www.cirb-ccri.gc.ca/eic/site/047.nsf/fra/accueil,188,613-947-5409,613-947-5407,Remi.Gardiner@cirb-ccri.gc.ca,"Rémi Gardiner
 Access to Information and Privacy Coordinator
 C.D. Howe Building
 240 Sparks Street, 4th Floor West
 Ottawa, Ontario  K1A 0X8","Rémi Gardiner
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Édifice C.D. Howe
 240, rue Sparks, 4e étage Ouest
 Ottawa, (Ontario)  K1A 0X8",
Canada Lands Company Limited,CLCL,Canada Lands Company,http://www.clc.ca/home,Société immobilière du Canada Limitée,SICL,Société immobilière du Canada,http://www.clc.ca/fr/accueil,82,416-952-6111,416-952-6164,gbarker@clc.ca,"Greg Barker
 Access to Information and Privacy Coordinator
 1 University Avenue, Suite 1200
 Toronto, Ontario  M5J 2P1","Greg Barker
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1, avenue University, bureau 1200
 Toronto, (Ontario)  M5J 2P1",
Canada Mortgage and Housing Corporation,CMHC,Canada Mortgage and Housing Corporation,http://www.cmhc.ca/en/index.cfm,Société canadienne d'hypothèques et de logement,SCHL,Société canadienne d'hypothèques et de logement,http://www.schl.ca/fr/index.cfm,87,613-748-2892,613-748-4098,sgignac@cmhc-schl.gc.ca,"Sébastien Gignac
 Access to Information and Privacy Coordinator
 700 Montreal Road, Room C2-218
 Ottawa, Ontario  K1A 0P7","Sébastien Gignac
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 700, chemin Montreal, pièce C2-218
 Ottawa, (Ontario)  K1A 0P7",
Canada Post,CPC,Canada Post,http://www.canadapost.ca/cpo/mc/default.jsf?LOCALE=en,Postes Canada,SCP,Postes Canada,http://www.canadapost.ca/cpo/mc/default.jsf?LOCALE=fr,83,1-866-913-2473,613-734-6660,catherine.tully@canadapost.ca,"Catherine Tully
 Access to Information and Privacy Coordinator
 2701 Riverside Drive, Suite N0080
 Ottawa, Ontario  K1A 0B1","Catherine Tully
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 2701, promenade Riverside, pièce N0080
 Ottawa, (Ontario)  K1A 0B1",
Canada Revenue Agency,CRA,Canada Revenue Agency,http://www.cra-arc.gc.ca/menu-eng.html,Agence du revenu du Canada,ARC,Agence du revenu du Canada,http://www.cra-arc.gc.ca/menu-fra.html,47,613-960-5393,613-941-9395,atip-aiprp@cra-arc.gc.ca,"Marie-Claude Juneau
 Access to Information and Privacy Coordinator
 45 Rideau Street, 6th Floor
 Ottawa, Ontario  K1A 0L5","Marie-Claude Juneau
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 45, rue Rideau, 6e étage
 Ottawa, (Ontario)  K1A 0L5",
Canada School of Public Service,CSPS,Canada School of Public Service,http://www.csps-efpc.gc.ca/index-eng.aspx,École de la fonction publique du Canada,EFPC,École de la fonction publique du Canada,http://www.csps-efpc.gc.ca/index-fra.aspx,73,613-943-4304,613-992-6450,jennifer.thorne@csps-efpc.gc.ca,"Jennifer Thorne
 Access to Information and Privacy Coordinator
 373 Sussex Drive
 Ottawa, Ontario  K1N 6Z2","Jennifer Thorne
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 373, promenade Sussex
 Ottawa, (Ontario)  K1N 6Z2",
Canada Science and Technology Museum,CSTM,Canada Science and Technology Museums Corporation,http://technomuses.ca/our_corporation/index_e.asp,Musée des sciences et de la technologie du Canada,MSTC,Société des musées de sciences et technologies du Canada,http://technomuses.ca/our_corporation/index_f.asp,202,613-991-9508,613-998-7759,mhorth@technomuses.ca,"Monique Horth
 Access to Information and Privacy Coordinator
 2380 Lancaster Road 
P.O. Box 9724, Station T
 Ottawa, Ontario  K1G 5A3","Monique Horth
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 2380, chemin Lancaster
 C.P. 9724, succursale T
 Ottawa, (Ontario)  K1G 5A3",
Canada-Newfoundland and Labrador Offshore Petroleum Board,CNLOPB,Canada-Newfoundland and Labrador Offshore Petroleum Board,http://www.cnlopb.nl.ca/,Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers,CNLOPB,Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers,http://www.cnlopb.nl.ca/index.shtml,51,709-778-1474,709-778-1432,TBennett@cnlopb.nl.ca,"Trevor Bennett
 Access to Information and Privacy Coordinator
 5th Floor, TD Place
 140 Water Street
 St. John's, Newfoundland and Labrador  A1C 6H6","Trevor Bennett
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 5e étage TD Place
 140, rue Water
 St. John's, (Terre-Neuve et du Labrador)  A1C 6H6",
Canada-Nova Scotia Offshore-Petroleum Board,CNSOPB,Canada-Nova Scotia Offshore-Petroleum Board,http://www.cnsopb.ns.ca/,Office Canada-Nouvelle-Écosse des hydrocarbures extracôtiers,CNSOPB,Office Canada-Nouvelle-Écosse des hydrocarbures extracôtiers,http://www.cnsopb.ns.ca/,95,902-422-5588,902-422-1799,nhynes@cnsopb.ns.ca,"Nancy Hynes
 Access to Information and Privacy Coordinator
 TD Centre
 1791 Barrington Street, 6th Floor
 Halifax, Nova Scotia  B3J 3K9","Nancy Hynes
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Centre TD
 1791, rue Barrington, 6e étage
 Halifax, (Nouvelle-Écosse)  B3J 3K9",
Canadian Air Transport Security Authority,CATSA,Canadian Air Transport Security Authority,http://www.catsa-acsta.gc.ca/Home.aspx?ID=1,Administration canadienne de la sûreté du transport aérien,ACSTA,Administration canadienne de la sûreté du transport aérien,http://www.catsa-acsta.gc.ca/Home.aspx?id=1&pname=Home_Accueil&lang=fr,250,613-949-2721,613-993-7330,Natalie.Sabourin@catsa.gc.ca,"Natalie Sabourin
 Access to Information and Privacy Coordinator
 99 Bank Street, 13th Floor
 Ottawa, Ontario  K1P 6B9","Natalie Sabourin
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 99, rue Bank, 13e étage
 Ottawa, (Ontario)  K1P 6B9",
Canadian Artists and Producers Professional Relations Tribunal,CAPPRT,Canadian Artists and Producers Professional Relations Tribunal,ABOLISHED - http://www.ic.gc.ca/eic/home.nsf/html/capprt-tcrpap.html,Tribunal canadien des relations professionnelles artistes-producteurs,TCRPAP,Tribunal canadien des relations professionnelles artistes-producteurs,ABOLISHED - http://www.ic.gc.ca/eic/home.nsf/html/capprt-tcrpap.html,24,613-996-4054,613-947-4125,Seguin.Suzanne@capprt-tcrpap.gc.ca,"Suzanne Séguin
 Access to Information and Privacy Coordinator
 240 Sparks Street, Floor 1W, Section G-1
 Ottawa, Ontario  K1A 1A1","Suzanne Séguin
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 240, rue Sparks, 1er étage Ouest, Section G-1
 Ottawa, (Ontario)  K1A 1A1",
Canadian Broadcasting Company,CBC,Canadian Broadcasting Company,http://www.cbc.radio-canada.ca/en/,Radio-Canada,Radio-Canada,Radio-Canada,http://www.cbc.radio-canada.ca/fr/,199,613-288-6165,613-288-6279,Sylvie.Gadoury@RADIO-CANADA.CA,"Sylvie Gadoury
 Access to Information and Privacy Coordinator
 181 Queen Street
 P.O. Box 3220, Station C
 Ottawa, Ontario  K1Y 1E4","Sylvie Gadoury
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 181, rue Queen
 C.P. 3220, succursale C
 Ottawa, (Ontario)  K1Y 1E4",
Canadian Centre for Occupational Health and Safety,CCOHS,Canadian Centre for Occupational Health & Safety,http://www.ccohs.ca/,Centre canadien d'hygiène et de sécurité au travail,CCHST,Centre canadien d'hygiène et de sécurité au travail,http://www.cchst.ca/,35,905-572-2981  Ext.4401,905-572-2206,bonniee@ccohs.ca,"Bonnie Easterbrook
 Access to Information and Privacy Coordinator
 135 Hunter Street East
 Hamilton, Ontario  L8N 1M5","Bonnie Easterbrook
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 135, rue Hunter Est
 Hamilton, (Ontario)  L8N 1M5",
Canadian Commercial Corporation,CCC,Canadian Commercial Corporation,http://www.ccc.ca/,Corporation commerciale canadienne,CCC,Corporation commerciale canadienne,http://www.ccc.ca/fr-ca,34,613-992-4419,613-992-2134,trybkin@ccc.ca,"Tamara Parschin-Rybkin
 Access to Information and Privacy Coordinator
 50 O'Connor Street, 11th Floor
 Ottawa, Ontario  K1A 0S6","Tamara Parschin-Rybkin
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 50, rue O'Connor, 11e étage
 Ottawa, (Ontario)  K1A 0S6",
Canadian Cultural Property Export Review Board,CCPERB,Canadian Cultural Property Export Review Board,http://www.pch.gc.ca/eng/1346091768788/1346092823346,Commission canadienne d'examen des exportations de biens culturels,CCEEBC,Commission canadienne d'examen des exportations de biens culturels,http://www.pch.gc.ca/fra/1346091768788/1346092823346,130,819-997-7752,819-997-7757,sonia.lismer@pch.gc.ca,"Sonia Lismer
 A/Access to Information and Privacy Coordinator
 15 Eddy Street, 25-N-9
 Gatineau, Quebec  K1A 0M5","Sonia Lismer
 Coordonnateur par Intérim de l'accès à l'information et de la protection des renseignements personnels
 15, rue Eddy, 25-N-9
 Gatineau, (Québec)  K1A 0M5",
Canadian Dairy Commission,CDC,Canadian Dairy Commission,http://www.cdc-ccl.gc.ca/CDC/index-eng.php,Commission canadienne du lait,CCL,Commission canadienne du lait,http://www.cdc-ccl.gc.ca/CDC/index-fra.php?id=3781,151,613-792-2043,613-792-2009,joanne.burelle@cdc-ccl.gc.ca,"Joanne Burelle
 Access to Information and Privacy Coordinator
 Building 55, NCC Driveway
 Central Experimental Farm
 960 Carling Avenue
 Ottawa, Ontario  K1A 0Z2","Joanne Burelle
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Édifice 55, Promenade de la CCN
 Ferme expérimentale centrale
 960, avenue Carling
 Ottawa, (Ontario)  K1A 0Z2",
Canadian Environmental Assessment Agency,CEAA,Canadian Environmental Assessment Agency,http://www.ceaa-acee.gc.ca/default.asp?lang=En,Agence canadienne d'évaluation environnementale,ACEE,Agence canadienne d'évaluation environnementale,http://www.ceaa-acee.gc.ca/default.asp?lang=Fr,270,613-957-0572,613-957-0946,Elsa.Vanhulst@ceaa-acee.gc.ca,"Elsa Van Hulst
 Access to Information and Privacy Coordinator
 Place Bell Canada
 160 Elgin Street, 22nd Floor
 Ottawa, Ontario  K1A 0H3","Elsa Van Hulst
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Place Bell Canada
 160, rue Elgin, 22e étage
 Ottawa, (Ontario)  K1A 0H3",
Canadian Food Inspection Agency,CFIA,Canadian Food Inspection Agency,http://www.inspection.gc.ca/eng/1297964599443/1297965645317,Agence canadienne d'inspection des aliments,ACIA,Agence canadienne d'inspection des aliments,http://www.inspection.gc.ca/fra/1297964599443/1297965645317,206,613-773-6907,613-773-5604,Nathalie.Campeau@inspection.gc.ca,"Nathalie Campeau
 Access to Information and Privacy Coordinator
 1400 Merivale Road, Room T1-0-149
 Ottawa, Ontario  K1A 0Y9","Nathalie Campeau
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1400, chemin Merivale, pièce T1-0-149
 Ottawa, (Ontario)  K1A 0Y9",
Canadian Forces Grievance Board,CFGB,Military Grievances External Review Committee,http://www.cfgb-cgfc.gc.ca/index-eng.html,Comité des griefs des Forces canadiennes,CGFC,Comité externe d’examen des griefs militaires,http://www.cfgb-cgfc.gc.ca/index-fra.html,43,613-992-7588,613-996-6491,gauthiery@cfgb-cgfc.gc.ca,"Yolaine Gauthier
 Access to Information and Privacy Coordinator
 60 Queen Street, 10th Floor
 Ottawa, Ontario  K1P 5Y7","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 60, rue Queen, 10e étage
 Ottawa, (Ontario)  K1P 5Y7",
Canadian Grain Commission,CGC,Canadian Grain Commission,http://www.grainscanada.gc.ca/index-eng.htm,Commission canadienne des grains,CCG,Commission canadienne des grains,http://www.grainscanada.gc.ca/index-fra.htm,169,204-983-3081,204-983-2751,cari.miller@grainscanada.gc.ca,"Cari Miller
 Access to Information and Privacy Coordinator
 303 Main Street, Room 600
 Winnipeg, Manitoba  R3C 3G8","Cari Miller
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 303, rue Main, pièce 600
 Winnipeg, (Manitoba)  R3C 3G8",
Canadian Heritage,PCH,Canadian Heritage,http://www.pch.gc.ca/eng/1266037002102/1265993639778,Patrimoine canadien,PCH,Patrimoine canadien,http://www.pch.gc.ca/fra/1266037002102/1265993639778,16,819-997-6874,819-953-9524,jaye.jarvis@pch.gc.ca,"Jaye Jarvis
 Access to Information and Privacy Coordinator
 Les Terrasses de la Chaudière
 25 Eddy Street, 3rd Floor
 Gatineau, Quebec  K1A 0M5","Jaye Jarvis
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Les Terrasses de la Chaudière
 25, rue Eddy, 3e étage
 Gatineau, (Québec)  K1A 0M5",
