Organisation,Annee,Mois,Numero de la demande,Sommaire de la demande,Disposition,Nombre de pages
Élections Canada,2013,08,A-2013-00014,"Obtenir une copie complète de chacune des notes d'information suivantes :

« Parti canadien en ligne - demande du chef pour changer le nom au complet, le nom abrégé et le logo du parti »
 « Rapport de vérification interne en classification et approbation du cadre »
 « Processus non annoncé suite à une reclassification à la Direction des enquêtes »
 « Élection partielle dans Labrador - courriel du DGE aux membres du CCPP »
 « Processus non annoncé suite à une reclassification dans le Secteur des Ressources humaines »
 « Note d'information - codes de conduite à l'intention des partis »",Communication partielle,30
Élections Canada,2013,08,A-2013-00018,"Fournir des copies de tous les documents, y compris les notes d'information, les notes de service, les infocapsules, les courriels, la correspondance, les publications juridiques, les transactions, entre autres, concernant les dépenses engagées par la candidate Belinda Stronach dans la circonscription de Newmarket-Aurora pendant l'élection fédérale de 2004.",Communication partielle,85
Élections Canada,2013,09,A-2012-00078,"La correspondance électronique et papier, les courriels, les notes d'information, les notes de service et les procès-verbaux de réunion d'Élections Canada produits entre janvier 2012 et le 16 janvier 2013 concernant la dette de campagne de Ken Dryden, Martha Hall Findlay, Hedy Fry et Joe Volpe pour la course à la direction du Parti libéral de 2006.",Communication partielle,358
Élections Canada,2013,09,A-2013-00023,"Tous les détails de vos contrats de location de photocopieuses en vigueur et toute l'information liée à l'achat d'imprimantes, de numériseurs et de télécopieurs au cours des quatre dernières années.",Communication totale,7
Élections Canada,2013,09,A-2013-00024,"Des copies de tous les documents (courriels, rapports, factures, notes de service, correspondance, notes d'information, etc.) sur l'utilisation de « cartes de suppression du vote » par le Parti libéral pendant la campagne électorale fédérale de 2008.",Communication partielle,7
Élections Canada,2013,10,A-2012-00035,"Copies des documents – courriels, rapports, infocapsules, points de discussion, notes de service, analyses, vérifications, correspondance, etc. – concernant l'examen des bulletins de vote à l'élection fédérale de 2011 dans la circonscription d'Etobicoke-Centre depuis le 1er mai 2011.",Communication partielle,583
Élections Canada,2013,10,A-2013-00025,"Copie de toutes les demandes d'accès à l'information reçues par Élections Canada quelle que soit la source, y compris les médias, du 1er juillet 2008 au 31 décembre 2012. Note : Je m'intéresse seulement aux demandes, et non aux réponses.",Communication partielle,360
Élections Canada,2013,10,A-2013-00026,"Toutes les commandes subséquentes traitées en avril, en mai et en juin 2013 dans la région de la capitale nationale dans le cadre d'un arrangement en matière d'approvisionnement ou d'une offre à commandes pour des services d'aide temporaire.",Communication partielle,38
Élections Canada,2013,10,A-2013-00027,"Toutes les ententes conclues dans le cadre d'un arrangement en matière d'approvisionnement ou d'une offre à commandes pour des services professionnels centrés sur les tâches ainsi que toutes les ententes conclues dans le cadre d'un arrangement en matière d'approvisionnement ou d'une offre à commandes pour des services professionnels en informatique centrés sur les tâches dans la région de la capitale nationale en avril, en mai et en juin 2013.",Aucune communication (aucun document n'existe),0
Élections Canada,2013,10,A-2013-00028,"Statistiques sur le nombre d'employés embauchés annuellement par Élections Canada en vertu de l'article 39 de la Loi sur l'emploi dans la fonction publique (Préférences, priorités et autres droits) entre 1993 et 2007.",Aucune communication (aucun document n'existe),0
Élections Canada,2013,10,A-2013-00030,"Copie de toutes les données – statistiques ou autres données – que détient Élections Canada et qui me permettraient de voir pour chaque année de 2005 à aujourd'hui : A) le nombre d'heures supplémentaires payées à vos employés (permanents, à temps partiel et contractuels) et la valeur monétaire totale de ces heures pour chaque année; B) une copie de tout document indiquant le salaire versé annuellement à vos employés (permanents, à temps partiel et contractuels). Ces documents devraient aussi indiquer les primes de rendement, les indemnités de départ, etc.; C) une copie de tout document montrant, pour chaque année, le nombre d'employés travaillant pour Élections Canada dans chacune des catégories suivantes : employés permanents, employés à temps partiel et employés contractuels.",Communication totale,2
Les Ponts Jacques-Cartier et Champlain Incorporée,2013,03,2340‐503,"Copie de tous rapports, études, évaluations, analyses, recherches, sondages et tout autre document portant sur le pont Champlain depuis le 1 er janvier 2012 au 20 janvier 2013",Communication partielle,2312
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,09,2340‐486,"Du 1 er janvier 2012 au 12 juillet 2012, tous les rapports concernant l’état du pont de L’Île‐des‐Sœurs, incluant tout rapport recommandant la cons‐ truction d’une jetée parallèle au pont",Communication partielle,549
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,08,2340‐480,"De 1990 jusqu’au 31mai 2012 : Études ou rapports sur la sécurité et statistiques sur les accidents, impliquant les vélos sur le pont Jacques‐Cartier et les bretelles d’accès à Longueuil",Communication partielle,290
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,07,2340‐473,"Documents concernant la présence de contaminants sur les terrains des anciens ateliers du CN, de l’antenne Butler, du Technoparc et des terrains situés entre le Technoparc etla rive du fleuve Saint‐Laurent, entre le 1 erjanvier 2005 etle 10 février 2012",Communication partielle,4753
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,05,2340‐474,Plan des mesures d’urgence et d’évacuation des ponts Jacques‐ Cartier et Champlain,Communication partielle,101
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,03,2340‐461,Rapports d’inspection du pont Champlain réalisés depuis 2006,Communication partielle,8066
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00017,"Accès à tous les documents produits par le CPVP et envoyés à Google au sujet ou à la suite de la visite du Commissariat dans les locaux de Google, à Mountain View, le 19 juillet 2010, pendant que le CPVP examinait les données recueillies au Canada par les véhicules Street View.",Divulgué en partie,879
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,02,2340-457,"Copie de tous les avenants émis par PJCCI dans le cadre du Contrat 60739 / Pont Honoré-Mercier, projet de design-construction pour le remplace- ment du tablier au nord des piles 32, E1 et W1 (2009-2011) (Contrat B)",Communication partielle,3
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00017,"Accès à tous les documents produits par le CPVP et envoyés à Google au sujet ou à la suite de la visite du Commissariat dans les locaux de Google, à Mountain View, le 19 juillet 2010, pendant que le CPVP examinait les données recueillies au Canada par les véhicules Street View.",Divulgué en partie,879
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,02,2340-457,"Copie de tous les avenants émis par PJCCI dans le cadre du Contrat 60739 / Pont Honoré-Mercier, projet de design-construction pour le remplace- ment du tablier au nord des piles 32, E1 et W1 (2009-2011) (Contrat B)",Communication partielle,3
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00018,Accès à tout document produit ou conservé par le CPVP concernant l’examen du Commissariat sur les données utiles recueillies par Google par l’entremise des réseaux WiFi canadiens.,,
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,01,2340-464,Copie des rapports d’inspections de 2011 des ponts Champlain et Jacques-Cartier et de la portion fédérale du pont Mercier,Communication partielle,1438
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00018,Accès à tout document produit ou conservé par le CPVP concernant l’examen du Commissariat sur les données utiles recueillies par Google par l’entremise des réseaux WiFi canadiens.,,
Les Ponts Jacques-Cartier et Champlain Incorporée,2012,01,2340-464,Copie des rapports d’inspections de 2011 des ponts Champlain et Jacques-Cartier et de la portion fédérale du pont Mercier,Communication partielle,1438
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00019,Accès à tout document produit ou conservé par le CPVP concernant l’examen du Commissariat sur les circonstances entourant l’incident d’interception de communications WiFi par Google.,,
Les Ponts Jacques-Cartier et Champlain Incorporée,2013,04,2340‐511,Liste des déficiences et correctifs apportés au contrat 61133 au niveau de l’article 31 du Bordereau de paiement(arbalète à deux poinçons),Document n’existe pas,0
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00019,Accès à tout document produit ou conservé par le CPVP concernant l’examen du Commissariat sur les circonstances entourant l’incident d’interception de communications WiFi par Google.,,
Les Ponts Jacques-Cartier et Champlain Incorporée,2013,04,2340‐511,Liste des déficiences et correctifs apportés au contrat 61133 au niveau de l’article 31 du Bordereau de paiement(arbalète à deux poinçons),Document n’existe pas,0
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00020,Accès à tout document produit ou conservé par le CPVP concernant l’examen du Commissariat sur l’isolement et le stockage sécuritaire des données par Google.,,
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00021,Accès à tout document produit ou conservé par le CPVP concernant l’examen du Commissariat sur les mesures prises par Google pour atténuer les risques liés à la vie privée.,,
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00022,"Accès à tout document produit ou conservé par le CPVP concernant l’enquête menée en 2010 par le Commissariat sur les pratiques de collecte, de conservation et d’utilisation des données de Google.",,
Commissariat à la protection de la vie privée du Canada,2012,02,A-2011-00023,"Accès à tout document produit ou conservé par le CPVP concernant les questions ou les demandes de documents présentées par le Commissariat à Google en 2010 et en 2011 ainsi que tout document produit par le CPVP, notamment les notes d’information, les notes de service et la correspondance, au sujet des réponses ou des observations formulées par Google relativement à ces questions ou à ces demandes.",,
