20652en,Canada Post,2012,09,A-2012-00066,"All written deliverables for ""Mystery Shopping Services"" as per Merx solicitation # 46NS11MFR.",All exempted,0
20653en,Canada Post,2012,09,A-2012-00068,A flyer printed on yellow paper distributed in the Town of Kearney requesting information as to the identification of the distributor of this flyer.,Disclosed in part,12
20654en,Canada Post,2012,09,A-2012-00069,"Details of how many part time and full time employees received bonus cheques in 2009, 2010, 2011, 2012. Also, how many Canada Post employees received personal performance bonus payments in 2009, 2010, 2011, 2012.",Disclosed in part,1
20655en,Canada Post,2012,09,A-2012-00070,"Performance bonuses paid to Canada Postﾒs senior management team, from vice presidents, senior vice presidents, group presidents to CEO, for years 2009, 2010, 2011, 2012.",Disclosed in part,4
20656en,Canada Post,2012,09,A-2012-00080,"Electronic copy of the mail inspection database from Jan. 1, 2007 to August 20, 2012.",Disclosed in part,99
20657en,Canada Post,2012,09,A-2012-00082,"2010, 2011 and 2012 salary ranges + incentive rates for legal positions and all positions in the ATIP office.",All disclosed,3
20658en,Canada Post,2012,09,A-2012-00084,Past procurements of plastic pallets specifically Canada Post item number SO-60 as bought with specification Standard Equipment Reusable Plastic Pallet SO-60 dated 2008-05-02,No records exist,0
5343en,Canada Revenue Agency,2012,11,A-051439,Emails and attachments of the 26 subject headers of a Canada Revenue Agency employee from previous request A-049516.,Disclosed in part,257
5344en,Canada Revenue Agency,2012,11,A-051805,All records prepared after 2008 that the CRAﾒs Income Tax Rulings Directorate has about the interpretation of paragraph 149(1)(L) of the Income Tax Act.,Disclosed in part,896
5345en,Canada Revenue Agency,2012,11,A-052713,"Copies of documents related to the anti-avoidance rule in section 245 of the Income Tax Act, which applies to registered retirement savings plan and registered retirement income fund investments.",Disclosed in part,220
5346en,Canada Revenue Agency,2012,11,A-053179,Emails and attachments of the 11 subject headers of a Canada Revenue Agency employee from previous request A-051752.,Disclosed in part,129
5347en,Canada Revenue Agency,2012,11,A-053734,Emails and attachments of the 18 subject headers of a Canada Revenue Agency employee from previous request A-053312.,Disclosed in part,332
5348en,Canada Revenue Agency,2012,11,A-053942,Records related to the taxing of partnerships in connection with subsection 66.7 of the Income Tax Act: indirect expense deductions under subsection 66(4); the application of subparagraph 66.7(10)(j); and documents concerning Canadian Tax Foundation conferences.,Disclosed in part,1350
5349en,Canada Revenue Agency,2012,11,A-054048,Emails and attachments of the 40 subject headers of a Canada Revenue Agency employee from previous request A-049522.,Disclosed in part,119
5350en,Canada Revenue Agency,2012,11,A-054223,A copy of all documents about the launch and implementation of the multimedia advertising campaign to raise awareness among Canadians of the negative impacts of buying contraband cigarettes.,Disclosed in part,3164
5351en,Canada Revenue Agency,2012,11,A-054552,Emails and attachments of the 28 subject headers of a Canada Revenue Agency employee from previous request A-051749.,Disclosed in part,76
5352en,Canada Revenue Agency,2012,11,A-054675,Copies of documents related to the application of the goods and services tax/harmonized sales tax to trading fees charged by stock exchanges for trading financial instruments.,Disclosed in part,426
5353en,Canada Revenue Agency,2012,11,A-055179,Emails and attachments of the 12 subject headers of a Canada Revenue Agency employee from previous request A-054040.,Disclosed in part,119
5354en,Canada Revenue Agency,2012,11,A-055808,All email subject headers of a Canada Revenue Agency employee from 2010-12-01 to 2011-05-31.,Disclosed in part,164
4514en,Canada Revenue Agency,2012,01,A-056795,"Information about Canada Revenue Agency policies, views, and consideration of issues on: settling tax disputes and cases; respecting the settlement of tax disputes or cases; and requiring taxpayers to waive their objection and/or appeal rights as part of settling tax disputes or cases.",Disclosed in part,33
4515en,Canada Revenue Agency,2012,01,A-057345,The name of the vendor involved in developing Annex B of Canada Revenue Agency's request for proposal #1000299947.,All disclosed,1
5103en,Canada Revenue Agency,2012,07,A-057589,Explanations for activity coding in the Audit Information Management System.,No records exist,0
4654en,Canada Revenue Agency,2012,02,A-057936,"Copy of the ﾓAdministrative Agreement with the Accounts Receivable Directorateﾔ memo from the Compliance Programs Branch, Enforcement and Disclosures Directorate.",All disclosed,7
4656en,Canada Revenue Agency,2012,02,A-057936,"Copy of the ﾓCanadian Police Information Centre Agreement Memorandum of Understandingﾔ memo from the Compliance Programs Branch, Enforcement and Disclosures Directorate.",All disclosed,8
5355en,Canada Revenue Agency,2012,11,A-058827,Pacific and Prairie regional management meetings' documents and materials related to the Scientific Research and Experimental Development Program from 2004 to 2012-03-15.,Disclosed in part,116
5356en,Canada Revenue Agency,2012,11,A-059752,Copy of internal technical interpretation documents for the period 2012-05-01 to 2012-06-05.,All exempted,0
5357en,Canada Revenue Agency,2012,11,A-059843,The final version of the Compliance Review II document.,All exempted,0
5358en,Canada Revenue Agency,2012,11,A-060122,Copy of Technical Guidance and Policy Development Division documents written in the last seven years describing the use of timelines and amounts to support the financial or technical part of scientific research and experimental development claims.,Disclosed in part,68
5359en,Canada Revenue Agency,2012,11,A-060123,Documents on how to evaluate system uncertainty with scientific research and experimental development claims.,Disclosed in part,531
5360en,Canada Revenue Agency,2012,11,A-060566,Copy of the policy on rotation of large-file case managers and large business auditors to different audit cases.,Disclosed in part,10
5361en,Canada Revenue Agency,2012,11,A-060567,"Copies of discussion forums on trust audits, prepayment risk assessment, workload development, and eBay audits.",Disclosed in part,19
5362en,Canada Revenue Agency,2012,11,A-060570,"Copies 2, 3, 4, and 5 of the goods and services tax/harmonized sales tax newsletters.",Disclosed in part,19
5363en,Canada Revenue Agency,2012,11,A-060589,Copies of Canada Pension Plan/employment insurance memo details.,Disclosed in part,304
5364en,Canada Revenue Agency,2012,11,A-061170,A copy of travel documents from the Director of Communications for the Minister from 2011-05-18 to 2012-07-30.,Disclosed in part,185
5365en,Canada Revenue Agency,2012,11,A-061194,Internal government communication since 2006 concerning the rationale associated with the creation and use of portable and customized signage used as visual props at photo-ops.,No records exist,0
5366en,Canada Revenue Agency,2012,11,A-061195,Internal government communication since 2006 concerning the rationale of using images of Canadian sports in public communications.,All disclosed,43
5367en,Canada Revenue Agency,2012,11,A-061196,Internal government communication since from 2006 concerning the rationale of public communications materials using the Prime Minister's name.,No records exist,0
5368en,Canada Revenue Agency,2012,11,A-061197,Internal government communication since 2006 concerning the rationale of the Canadian flag as a visual prop in any public communications.,No records exist,0
5369en,Canada Revenue Agency,2012,11,A-061198,"Internal government communication since 2006 concerning the rationale associated with the terminology branding and its variants such as brand, brand image, and brand identity.",All disclosed,120
5370en,Canada Revenue Agency,2012,11,A-061201,Internal government communication since 2006 concerning the rationale of the graphic arts visuals identified with the Conservative Party of Canada on Internet sites.,No records exist,0
5371en,Canada Revenue Agency,2012,11,A-061231,Copy of eligibility interpretation issues and procedures regarding the Scientific Research and Educational Development Program.,No records exist,0
5372en,Canada Revenue Agency,2012,11,A-061247,Copy of the high-risk analysis newsletter for April 2012 and July 2012.,Disclosed in part,7
5373en,Canada Revenue Agency,2012,11,A-061248,Copy of the Tax Compliance Digestﾗissues 1 through 8.,Disclosed in part,47
5374en,Canada Revenue Agency,2012,11,A-061370,Emails and attachments of the 3 subject headers of a Canada Revenue employee from previous request A- 057834.,Disclosed in part,12
5375en,Canada Revenue Agency,2012,11,A-061375,Emails and attachments of the 6 subject headers of a Canada Revenue employee from previous request A- 058654.,All disclosed,11
5376en,Canada Revenue Agency,2012,11,A-061425,Copy of International Tax Programs Communiqu� ITP-95-05 (1995): Section 116 of the Income Tax Act.,Disclosed in part,7
5377en,Canada Revenue Agency,2012,11,A-061437,Copy of Communiqu� AD-05-03B (2005): Recording registered tax shelters in the audit information management system.,All disclosed,25
5378en,Canada Revenue Agency,2012,11,A-061438,Copy of Communiqu� AD-06-01B (2006): Ability to audit electronic records created by non-complex systems used by small and medium enterprises.,All disclosed,8
5379en,Canada Revenue Agency,2012,11,A-061439,Copy of Communiqu� AD-97-03 (1997): Involvement of specialized audit areas in the on-site identification of audit issues for the audit of corporations in the large-file program.,All disclosed,2
5380en,Canada Revenue Agency,2012,11,A-061440,Copy of Communiqu� AD-98-15 (1998): Activity codes.,All disclosed,2
5381en,Canada Revenue Agency,2012,11,A-061441,"Copy of Communiqu� AD-98-30 (1998): Late filing of Form GST 488, Election or Revocation of an Election Not to Use the Net Tax Calculation for Charities.",All disclosed,2
5382en,Canada Revenue Agency,2012,11,A-061442,Copy of Communiqu� AD-99-02 (1999): Goods and services tax/harmonized sales tax general tax rebate claims by native entities.,All disclosed,2
5383en,Canada Revenue Agency,2012,11,A-061443,Copy of the Enforcement and Disclosures Directorate�s Communiqu� EDD-07-06R (2007): Gathering and use of credit bureau information.,All disclosed,2
5384en,Canada Revenue Agency,2012,11,A-061444,Copy of the Enforcement and Disclosures Directorate�s Communiqu� EDD-09-01 (2009): Embezzlement file selection.,All disclosed,2
5385en,Canada Revenue Agency,2012,11,A-061445,Copy of the Enforcement and Disclosures Directorate�s Communiqu� EDD-09-02 (2009): Revised sample information to obtain.,All disclosed,2
5386en,Canada Revenue Agency,2012,11,A-061446,Copy of the Enforcement and Disclosures Directorate�s Communiqu� EDD-09-03 (2009): Release of taxpayer information to police in situations involving unauthorized use of taxpayer information by a third party.,All disclosed,9
5387en,Canada Revenue Agency,2012,11,A-061449,Copy of the Enforcement and Disclosures Directorate�s Communiqu� EDD-10-01 (2010): Civil appeals on assessments/reassessments issued by the Criminal Investigations Program.,All disclosed,2
5388en,Canada Revenue Agency,2012,11,A-061450,Copy of the Enforcement and Disclosures Directorate�s Communiqu� EDD-10-03 (2010): Wording of criminal caution.,All disclosed,2
5389en,Canada Revenue Agency,2012,11,A-061455,Copy of the International Tax Programs� Communiqu� ITP-91-03 (1991): Permanent establishment.,All disclosed,4
5390en,Canada Revenue Agency,2012,11,A-061541,Copy of the Enforcement and Disclosures Manual as of July 2009.,All disclosed,194
5333en,Canada Revenue Agency,2012,10,A-061802,Information relating to commodity hedging and forward-contract type transactions or other financial-hedging type transactions issued to a Canada Revenue Agency tax services office between 2012-07-1 and 2012-07-31.,Disclosed in part,5
5391en,Canada Revenue Agency,2012,11,A-061810,All documents regarding the charitable status and activities of the Canadian Mennonite Publishing Service from 2011-01-01 to 2012-09-17.,Disclosed in part,172
5392en,Canada Revenue Agency,2012,11,A-061840,"The most recent version of guidelines for the remission of tax, fees, or penalties under the Financial Administration Act.",All disclosed,23
5393en,Canada Revenue Agency,2012,11,A-061950,Personal training and development records of eight Canada Revenue Agency employees of the Regina Tax Services Office.,All exempted,139
5394en,Canada Revenue Agency,2012,11,A-061963,All documents regarding the charitable status of the Friends of Clayoquot Sound in 2001.,Disclosed in part,28
5395en,Canada Revenue Agency,2012,11,A-061990,The Benefit Programs Directorateﾒs review of risks associated with grandfather-dependent claims for the disability amount.,Disclosed in part,3
5396en,Canada Revenue Agency,2012,11,A-062089,All temporary help services supply arrangement and standing offer call-ups issued in the National Capital Region for the months of April 2012 to August 2012.,Disclosed in part,42
5397en,Canada Revenue Agency,2012,11,A-062126,Copy of the Compliance Operations Manual.,All disclosed,851
5398en,Canada Revenue Agency,2012,11,A-062206,Public opinion research reports for the period 2012-01-01 to 2012-10-09.,All excluded,60
5399en,Canada Revenue Agency,2012,11,A-062207,Appealsﾒ Business Intelligence Systems and Support Systems newsletters for the period 2011-01-01 to 2012-10-09.,All disclosed,22
5400en,Canada Revenue Agency,2012,11,A-062210,Copy of Aggresive Tax Planning (#9) and Reporting Non-Compliance (#10).,No records exist,O pages
5401en,Canada Revenue Agency,2012,11,A-062211,Copy of Appealsﾒ Business Intelligence and Performance Measurement (#7) and Underground Economy (#8).,No records exist,0
5402en,Canada Revenue Agency,2012,11,A-062215,Copy of the Employee Assistant Program national newsletters.,All disclosed,74
5403en,Canada Revenue Agency,2012,11,A-062216,"Copy of Appealsﾒ Business Intelligence Systems and Support Case appeals, as well as Equitas from Issue 6 to 2012-10-09.",All disclosed,12
5404en,Canada Revenue Agency,2012,11,A-062217,"Copy of ""Reasonable Expectation of Profit"" from the Office Examination Manual.",All disclosed,4
5405en,Canada Revenue Agency,2012,11,A-062221,A list of the names of Canada Revenue Agency employees within Small and Medium Enterprises who provide technical support to the field.,No records exist,0
5406en,Canada Revenue Agency,2012,11,A-062226,Email and attachments of the 4 subject headers of a Canada Revenue Agency employee from previous request A-061696.,Disclosed in part,7
5407en,Canada Revenue Agency,2012,11,A-062227,Email and attachments of the 2 subject headers of a Canada Revenue Agency employee from previous request A-057827.,All disclosed,9
5408en,Canada Revenue Agency,2012,11,A-062228,Email and attachments of the 2 subject headers of a Canada Revenue Agency employee from previous request A-057848.,All disclosed,3
5409en,Canada Revenue Agency,2012,11,A-062230,Email and attachments of the 2 subject headers of a Canada Revenue Agency employee from previous request A-057846.,Disclosed in part,5
5410en,Canada Revenue Agency,2012,11,A-062231,Email and attachments of the 2 subject headers of a Canada Revenue Agency employee from previous request A-058654.,All disclosed,11
5411en,Canada Revenue Agency,2012,11,A-062235,"Copies of all documents held by the Canada Revenue Agency showing the number of citizens who do not pay taxes ($0): from 2001-01-01 to 2012-10-13, for each province in Canada and by year.",All disclosed,3
5412en,Canada Revenue Agency,2012,11,A-062306,"Copy of Document RCD-01-01, Person Acting for Another Under Section 159 of the Income Tax Act and Section 270 of the Excise Tax Act, and a copy of Training Manual TD8615-000, Liability of a Third Party Controlling Assets.",Disclosed in part,176
5413en,Canada Revenue Agency,2012,11,A-062311,"Name, position, phone number, and email address of each member of named Headquarters committees.",All disclosed,12
5414en,Canada Revenue Agency,2012,11,A-062363,Payroll records of named employees associated with the Regina and Calgary tax services offices.,No records exist,0
2024en,Canada Science and Technology Museums Corporation,2012,03,A-1007-12-101,Correspondence between Denise  Amyot and the Deputy Minister of  Natural Resources and the Office  of the Minister of Natural  Resources Canada,Disclosed in  ful,23
2026en,Canada Science and Technology Museums Corporation,2012,03,A-1007-12-102,Correspondence between Denise  Amyot and Bruce Carson,Disclosed in  part,86
2025en,Canada Science and Technology Museums Corporation,2012,06,A-1007-12-104,"2011, 2012 records on  redevelopment and possible  relocation of the museum,  associated cost estimates, and  design/plans, including possible  partnerships/funding sources;  discussions on possible sites.",Partial  Disclosure,698
20613en,Canadian Air Transport Security Authority,2013,05,A-2013-00004,ﾓScreening Operations Bulletin #240 (ﾑScreening Cremation Container Urns).ﾔ,No records exist,N/A
20558en,Canadian Commercial Corporation,2013,05,CCC201300078,ﾓ List of all suppliers of military goods to the Canadian Commercial,All disclosed,54
20557en,Canadian Commercial Corporation,2013,05,CCC201300079,ﾓall records relating to contracts signed with Tri-Star Caribbean for,No records,0
20565en,Canadian Commercial Corporation,2013,05,CCC201300080,ﾓall records relating to internal investigations into the business,No records,0
20562en,Canadian Commercial Corporation,2013,05,CCC201300082,all records relating to internal investigations into the business,No records,0
20568en,Canadian Environmental Assessment Agency,2012,05,A-2011-00038,"Phase I environmental site assessment information related to the Axel Heiberg Island, Melville Island, and Bylot Island sites.",No records exist,0
20588en,Canadian Environmental Assessment Agency,2012,04,A-2011-00038,"All records, including but not limited to memos, reports and briefing notes, created after the development of a project to summarize issues raised by First Nations on the Enbridge Northern Gateway Project.",No records exist,0
2277en,Canadian Heritage,2013,04,A-2012-00234,"Briefing material to the deputy minister, excluding Cabinet confidences, regarding information technology security, information management security, and cyber security from January 2012 to March 2013.",All disclosed,13
2278en,Canadian Heritage,2013,04,A-2012-00234,Emails between Secretary of State Jason Kenney and Nathan Jacobson during the period in which Mr. Kenney was Secretary of State for Multiculturalism and Canadian Identity.,No records exist,0
2485en,Canadian Heritage,2012,04,Request Number,Summary of Request,Disposition,Number of Pages Disclosed
1437en,Canadian Museum for Human Rights,2012,09,013-ATI-12-13,"All reports and other documents, including invoices, emails, memos and briefing notes, related to the use of a mediator for staff at the CMHR from Jan. 1, 2010 to July 1, 2012.",Disclosed in part,108
1434en,Canadian Museum for Human Rights,2012,12,A-2012-00017,Board of Directors meeting minutes for September 2011.,Disclosed in part,12
1435en,Canadian Museum for Human Rights,2012,12,A-2012-00018,Board of Directors meeting minutes for September 2012.,Disclosed in part,7
1740en,Canadian Museum of Civilization Corporation,2012,03,ATIP 2011-2012 / 05,"ﾓAudit of Lending Practices for  Artifacts, including any draft or  interim version if final version  not yet complete.ﾔ",All disclosed.,26
1741en,Canadian Museum of Civilization Corporation,2012,04,ATIP 2011-2012 / 14,"ﾓCopies of complaints  received about the  exhibit ﾓGod(s): A  Userﾒs Guide, ﾓFrom  Nov. 15, 2011 to March  8, 2012.ﾔ",Disclosed in part.,46
1742en,Canadian Museum of Civilization Corporation,2012,04,ATIP 2011-2012 / 15,ﾓMost recent quarterly  report to the Canadian  Museum of Civilizationﾒs  Board of Trustees on  loans of artifacts; and  most recent quarterly  report to management  on outstanding loans  from the Canadian War  Museum.ﾔ,Full disclosure.,2
1743en,Canadian Museum of Civilization Corporation,2012,05,ATIP 2012-2013 / 02,"ﾓAudit of CMCCﾒs  ﾑAnnual Giving  Program,ﾒ including any  draft or interim version  (final version not yet  complete).ﾔ",Documents do not exist.,0
1745en,Canadian Museum of Civilization Corporation,2012,11,ATIP 2012-2013/24,"ﾓAll records relating to a registered  letter that was sent by CMCC, and  which was recalled by CMCC from the  Post Office on August 28 2012. The  information requested includes the  contents of the letter, all records  relating to why it was recalled, and the  procedures through which it was  recalled from Canada Post.ﾔ",Disclosed in part.,47
13216en,Canadian Northern Economic Development Agency,2012,01,CNR_A-2011-01481,"Draft internal audit prepared by the Comptroller General of Canada alleging financial mismanagement at CanNor, as well as the ""completed audit"" and remedial actions that Prime Minister Stephen Harper referred to on Oct. 14/11.",All disclosed,3 pages and Referred to documents publicly available
7925en,Canadian Security Intelligence Service,2012,02,A-2011-154,Copies of Human Resource policies and procedures relating to candidate recruiting and selection for positions.,NO RECORDS,0
2217en,Canadian Space Agency,2012,10,ATI 2012-12,Annuler,No record exist,0
2218en,Canadian Space Agency,2012,10,ATI 2012-12,Annuler Ne pas publier,No record exist,0
2219en,Canadian Space Agency,2012,10,ATI 2012-12,"Provide copies of all expense reports, including receipts, submitted by Marc Garneau as Executive Vice-President and President of the Canadian Space Agency, between February 1, 2001 and December 31, 2005.",No record exist,0
15973en,Citizenship and Immigration Canada,2013,04,A-2012-22331,"Certain emails of Ivo Coimbra for the period of September 1, 2012 to January 7, 2013 excluding cabinet confidences.",All disclosed,14
15974en,Citizenship and Immigration Canada,2013,04,A-2012-22331,"Certain emails of James Seyler for the period of September 1, 2012 to January 7, 2013",All disclosed,8
14347en,Correctional Service Canada,2012,09,A-2012-00280,Records concerning mistakes that have been made where parole officers have been unable to carry out due diligence as a result of too many offenders on their case load from September 2011 to the present.,No Record Exists,0
14348en,Correctional Service Canada,2012,09,A-2012-00280,"Copy of any contract, contract extension, contract amendment or new contract signed between the Correctional Service of Canada and/or Federal Training Centre and/or Leclerc Institution, party of the first part, from May 1, 2012 to the present.",Disclosed in Part,11
1849en,Defence Construction Canada,2012,11,A-2012-000018,Documents pertaining to the contract for the renovation of homes on the military base of Valcartier.,Disclosed in part,102
1851en,Defence Construction Canada,2012,11,A-2012-000018,Proof of the cancellation of the claim for the infrastructure project VBLIII at the Montreal Garrison.,Disclosed in part,2
1852en,Defence Construction Canada,2012,11,A-2012-000020,Proof of the cancellation of the claim for the infrastructure project VBLIII at the Montreal Garrison.,Disclosed in part,2
1854en,Defence Construction Canada,2012,12,A-2012-000022,"List of tender calls since 2009 for work related to civil engineering, planning and construction at CFB Valcartier.",All disclosed,14
1859en,Defence Construction Canada,2013,02,A-2012-000029,CV and total value of performance bonuses for DCC employees who worked in the Kingston area in year 2012.,disclosed in part,N/A
3355en,Environment Canada,2012,01,A-2011-01076,Call-ups for temporary help services in the National Capital Region (November 2011),All disclosed,23
3388en,Environment Canada,2012,02,A-2011-01076,Copy of the 2010-2011 National Enforcement Plan,All excluded (available online),0
3487en,Environment Canada,2012,05,A-2011-01783,"Documents regarding David Suzuki Foundationﾒs role in raising objections to the Northern Gateway Pipeline (November 15, 2011 - December 31, 2012)",Does not exist,
1433en,Farm Credit Canada,2012,07,A001- 2012-2013,FCCﾒs Disciplinary Procedures in effect in March 2009. Any amendments made since that date.,Completed,No pages released. FCC did not have formal disciplinary  procedures in place in March of 2009 nor has the corporation put formal procedures in place since then.
1873en,Federal Bridge Corporation Limited,2013,12,241.000/056 (Informal request),"Copies of previously released information in response to the following ATIP requests: #241.000/054 ﾖ ﾓObtain a copy of all the correspondence in your possession concerning the security of the Champlain Bridge in Montreal from May 1, 2011 to July 2012ﾔ #241.000/027 ﾖ ﾓCopy of documents exchanged between FBCL and the department of Transport on the safety of the Champlain Bridge and/or Jacques-Cartier in Mtl since Jan. 1 2010 to Feb 17 2011ﾔ #2401.000/038 ﾖ ﾓComplete copy of the University of McMaster study on the capacity of the Champlain Bridgeﾔ #241.000/043 ﾖ ﾓComplete copy of survey, studies on the Champlain and/or Jacques-Cartier bridgesﾔ",Total communication,477
1173en,Finance Canada,2012,06,A-2012-00073,Records related to the Organization for Economic Cooperation and Developmentﾒs  2012 visit seeking responses to its draft Assessment and Recommendations for the Economic Survey of Canada,Disclosed in part,17
1132en,Finance Canada,2012,07,A-2012-00084,Briefing note:  Update on Chrysler,Disclosed in part,6
1048en,Finance Canada,2012,09,A-2012-00252,"Records relating to a June 12, 2012 meeting between Finance Canada and Air Canada Union representatives",Disclosed in part,9
1049en,Finance Canada,2012,09,A-2012-00253,July 2012 comfort letters,Does not exist,0
1024en,Finance Canada,2012,10,A-2012-00302,List of Finance employees and approximate number of employees,Disclosed in part,19
856en,Finance Canada,2013,03,A-2012-00432,"Correspondence from the public:  Decriminalizing, legalizing and taxing the growth and sale of marijuana Budget management ﾖ Great job",Disclosed in part,9
9401en,Fisheries and Oceans Canada,2012,11,A-2012-00509,"COMMUNICATION BETWEEN THE OCEAN TUG K.RUSBY AND VEENDAM, MCTS QUEBEC AND OCEAN BERTRAND JEANSONNE",All disclosed,Audio recording
9450en,Fisheries and Oceans Canada,2013,01,A-2012-00721,INFORMATION REGARDING THE COLLISION OF THE HANJIN GENEVA AND THE FISHING VESSEL THERESA I,All ?Disclosed,Audio Recording
9451en,Fisheries and Oceans Canada,2013,01,A-2012-00722,"RADIO COMMUNICATIONS BETWEEN ""HANJIN GENEVA, THERESA I, AND PRINCE RUPERT ON NOVEMBER 20, 2012",All ?Disclosed,Audio Recording
9480en,Fisheries and Oceans Canada,2013,03,A-2012-00803 / RC,BRIEFING MATERIAL FOR THE MINISTER ON LICENSING POLICY INCONSISTENCIES REGARDING REGIONAL VESSEL REGISTRATION,Disclosed in part,3
12857en,"Foreign Affairs, Trade and Development Canada",2012,04,A-2010-00758,"The report from a fact-finding mission undertaken in late January 2010 with regards to the murder of the Mexican activist and the activities of Canadian mining firm Blackfire Exploration Ltd., as well as all drafts and final copies of emails, correspondence, meeting minutes, ministerial briefings notes, and house cards regarding Blackfire Explorations Ltd. Timeframe: January 1, 2005 until July 26, 2011.",Disclosed in part,1008
12891en,"Foreign Affairs, Trade and Development Canada",2012,03,A-2010-00758,"The report from a fact-finding mission undertaken in late January 2010 with regards to the murder of the Mexican activist and the activities of Canadian mining firm Blackfire Exploration Ltd. As well as all drafts and final copies of emails, correspondence, meeting minutes, ministerial briefings notes, and house cards regarding Blackfire Explorations Ltd. Timeframe: January 1, 2005 until present.",Disclosed in part,982
12690en,"Foreign Affairs, Trade and Development Canada",2012,07,A-2011-00099,"Records regarding Canada's position and/or decision to participate militarily in Afghanistan. Specifically, records that include Canada-US relations and interdepartmentally with DND if possible. Timeframe: September 27 to 30, 2001.",Disclosed in part,40
17237en,"Foreign Affairs, Trade and Development Canada",2012,03,A-2011-00099,"Most recent draft or final policy briefs...regarding the development of Canada's positions with respect to the agenda and outcomes of the Busan High Level Forum, taking place in Korea, November 29- December 1, 2011",Disclosed in part,107
12358en,"Foreign Affairs, Trade and Development Canada",2012,12,A-2011-00359,"Emails from/to/cc'd to former DC Consular Affairs Michael Welsh.  RE: Beverly Giesbrecht. Including references to Canadian High Commission in Pakistan & Pakistani officials or their representatives. Timeframe: November 1, 2008 to June 8, 2011.",Disclosed in part,48
17207en,"Foreign Affairs, Trade and Development Canada",2012,04,A-2011-00359,Records concerning a ministerial trip to London in June 2011 to attend the Global Alliance for Vaccines and Immunization conference. Please include emails circulated in the department about the trip.,Disclosed in part,170
12359en,"Foreign Affairs, Trade and Development Canada",2012,12,A-2011-00367,"Emails from, to, or cc'd to Patrica Fortier (DG Consular Operations Bureau), related to the Beverly Giesbrecht case (Khadija Abdul Qahaar).  Also emails that references Canada's High Commission in Pakistan or Pakistani officals. Timeframe: November 1, 2008 to June 8, 2011.",Disclosed in part,43
17307en,"Foreign Affairs, Trade and Development Canada",2012,01,A-2011-00367,"All project funding applications (funded or not) submitted for, cosigned by, or supported by the Togolese community in Canada (CTC) since 2005.",No record exists,0
